"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	139	4430141	3.1
	"Alabama"	"01"	"2000"	"2000"	142	4447100	3.2
	"Alabama"	"01"	"2001"	"2001"	131	4467634	2.9
	"Alabama"	"01"	"2002"	"2002"	119	4480089	2.7
	"Alabama"	"01"	"2003"	"2003"	125	4503491	2.8
	"Alabama"	"01"	"2004"	"2004"	141	4530729	3.1
	"Alabama"	"01"	"2005"	"2005"	145	4569805	3.2
	"Alabama"	"01"	"2006"	"2006"	145	4628981	3.1
	"Alabama"	"01"	"2007"	"2007"	156	4672840	3.3
	"Alabama"	"01"	"2008"	"2008"	136	4718206	2.9
	"Alabama"	"01"	"2009"	"2009"	144	4757938	3.0
	"Alabama"	"01"	"2010"	"2010"	171	4779736	3.6
	"Alabama"	"01"	"2011"	"2011"	144	4801108	3.0
	"Alabama"	"01"	"2012"	"2012"	173	4816089	3.6
	"Alabama"	"01"	"2013"	"2013"	160	4830533	3.3
	"Alabama"	"01"	"2014"	"2014"	193	4846411	4.0
	"Alabama"	"01"	"2015"	"2015"	218	4858979	4.5
	"Alaska"	"02"	"1999"	"1999"	29	624779	4.6
	"Alaska"	"02"	"2000"	"2000"	32	626932	5.1
	"Alaska"	"02"	"2001"	"2001"	39	633714	6.2
	"Alaska"	"02"	"2002"	"2002"	35	642337	5.4
	"Alaska"	"02"	"2003"	"2003"	40	648414	6.2
	"Alaska"	"02"	"2004"	"2004"	32	659286	4.9
	"Alaska"	"02"	"2005"	"2005"	34	666946	5.1
	"Alaska"	"02"	"2006"	"2006"	29	675302	4.3
	"Alaska"	"02"	"2007"	"2007"	48	680300	7.1
	"Alaska"	"02"	"2008"	"2008"	37	687455	5.4
	"Alaska"	"02"	"2009"	"2009"	68	698895	9.7
	"Alaska"	"02"	"2010"	"2010"	52	710231	7.3
	"Alaska"	"02"	"2011"	"2011"	63	722720	8.7
	"Alaska"	"02"	"2012"	"2012"	60	731228	8.2
	"Alaska"	"02"	"2013"	"2013"	62	737442	8.4
	"Alaska"	"02"	"2014"	"2014"	63	737046	8.5
	"Alaska"	"02"	"2015"	"2015"	83	738432	11.2
	"Arizona"	"04"	"1999"	"1999"	301	5023823	6.0
	"Arizona"	"04"	"2000"	"2000"	304	5130632	5.9
	"Arizona"	"04"	"2001"	"2001"	265	5273477	5.0
	"Arizona"	"04"	"2002"	"2002"	318	5396255	5.9
	"Arizona"	"04"	"2003"	"2003"	328	5510364	6.0
	"Arizona"	"04"	"2004"	"2004"	365	5652404	6.5
	"Arizona"	"04"	"2005"	"2005"	429	5839077	7.3
	"Arizona"	"04"	"2006"	"2006"	417	6029141	6.9
	"Arizona"	"04"	"2007"	"2007"	450	6167681	7.3
	"Arizona"	"04"	"2008"	"2008"	527	6280362	8.4
	"Arizona"	"04"	"2009"	"2009"	517	6343154	8.2
	"Arizona"	"04"	"2010"	"2010"	620	6392017	9.7
	"Arizona"	"04"	"2011"	"2011"	661	6468732	10.2
	"Arizona"	"04"	"2012"	"2012"	696	6553262	10.6
	"Arizona"	"04"	"2013"	"2013"	765	6630799	11.5
	"Arizona"	"04"	"2014"	"2014"	786	6728783	11.7
	"Arizona"	"04"	"2015"	"2015"	873	6828065	12.8
	"Arkansas"	"05"	"1999"	"1999"	77	2651860	2.9
	"Arkansas"	"05"	"2000"	"2000"	68	2673400	2.5
	"Arkansas"	"05"	"2001"	"2001"	94	2691571	3.5
	"Arkansas"	"05"	"2002"	"2002"	65	2705927	2.4
	"Arkansas"	"05"	"2003"	"2003"	77	2724816	2.8
	"Arkansas"	"05"	"2004"	"2004"	70	2749686	2.5
	"Arkansas"	"05"	"2005"	"2005"	67	2781097	2.4
	"Arkansas"	"05"	"2006"	"2006"	83	2821761	2.9
	"Arkansas"	"05"	"2007"	"2007"	90	2848650	3.2
	"Arkansas"	"05"	"2008"	"2008"	106	2874554	3.7
	"Arkansas"	"05"	"2009"	"2009"	98	2896843	3.4
	"Arkansas"	"05"	"2010"	"2010"	100	2915918	3.4
	"Arkansas"	"05"	"2011"	"2011"	110	2938538	3.7
	"Arkansas"	"05"	"2012"	"2012"	98	2949499	3.3
	"Arkansas"	"05"	"2013"	"2013"	101	2957957	3.4
	"Arkansas"	"05"	"2014"	"2014"	122	2966835	4.1
	"Arkansas"	"05"	"2015"	"2015"	165	2978204	5.5
	"California"	"06"	"1999"	"1999"	2349	33499204	7.0
	"California"	"06"	"2000"	"2000"	2474	33871648	7.3
	"California"	"06"	"2001"	"2001"	2522	34479458	7.3
	"California"	"06"	"2002"	"2002"	2506	34871843	7.2
	"California"	"06"	"2003"	"2003"	2611	35253159	7.4
	"California"	"06"	"2004"	"2004"	2550	35574576	7.2
	"California"	"06"	"2005"	"2005"	2696	35827943	7.5
	"California"	"06"	"2006"	"2006"	2718	36021202	7.5
	"California"	"06"	"2007"	"2007"	2903	36250311	8.0
	"California"	"06"	"2008"	"2008"	3029	36604337	8.3
	"California"	"06"	"2009"	"2009"	3091	36961229	8.4
	"California"	"06"	"2010"	"2010"	3122	37253956	8.4
	"California"	"06"	"2011"	"2011"	3314	37700034	8.8
	"California"	"06"	"2012"	"2012"	3323	38056055	8.7
	"California"	"06"	"2013"	"2013"	3400	38414128	8.9
	"California"	"06"	"2014"	"2014"	3572	38792291	9.2
	"California"	"06"	"2015"	"2015"	3903	39144818	10.0
	"Colorado"	"08"	"1999"	"1999"	267	4226018	6.3
	"Colorado"	"08"	"2000"	"2000"	270	4301261	6.3
	"Colorado"	"08"	"2001"	"2001"	260	4425687	5.9
	"Colorado"	"08"	"2002"	"2002"	268	4490406	6.0
	"Colorado"	"08"	"2003"	"2003"	260	4528732	5.7
	"Colorado"	"08"	"2004"	"2004"	267	4575013	5.8
	"Colorado"	"08"	"2005"	"2005"	254	4631888	5.5
	"Colorado"	"08"	"2006"	"2006"	269	4720423	5.7
	"Colorado"	"08"	"2007"	"2007"	345	4803868	7.2
	"Colorado"	"08"	"2008"	"2008"	367	4889730	7.5
	"Colorado"	"08"	"2009"	"2009"	383	4972195	7.7
	"Colorado"	"08"	"2010"	"2010"	410	5029196	8.2
	"Colorado"	"08"	"2011"	"2011"	426	5119480	8.3
	"Colorado"	"08"	"2012"	"2012"	425	5191731	8.2
	"Colorado"	"08"	"2013"	"2013"	436	5271132	8.3
	"Colorado"	"08"	"2014"	"2014"	501	5355588	9.4
	"Colorado"	"08"	"2015"	"2015"	500	5456574	9.2
	"Connecticut"	"09"	"1999"	"1999"	103	3386401	3.0
